CENTER_X,CENTER_Y,LEFT_X,LEFT_Y,RIGHT_X,RIGHT_Y
-19.15,1.8,-19.15,-1.55,-19.15,5.15
-20.76238124,1.729601915,-20.4704095,-1.607650324,-21.05435298,5.066854153
-22.36249129,1.518943431,-21.78076989,-1.780162542,-22.94421268,4.818049403
-23.93815233,1.169627786,-23.07110853,-2.066223732,-24.80519614,4.405479304
-25.47737265,0.684313485,-24.33160517,-2.463656795,-26.62314013,3.832283764
-26.96843784,0.06669406,-25.55266667,-2.969437026,-28.38420902,3.102825147
-28.4,-0.67853003,-26.725,-3.579715133,-30.075,2.222655073
-29.76116407,-1.545687181,-27.83968301,-4.289846529,-31.68264513,1.198472168
-31.04157078,-2.528177802,-28.88823229,-5.094426687,-33.19490927,0.038071082
-32.23147545,-3.618524548,-29.86266773,-5.987332265,-34.60028317,-1.249716831
-33.3218222,-4.808429221,-30.75557331,-6.961767713,-35.88807108,-2.655090728
-34.30431282,-6.088835928,-31.56015347,-8.010316989,-37.04847217,-4.167354866
-35.17146997,-7.45,-32.27028487,-9.125,-38.07265507,-5.775
-35.91669406,-8.881562158,-32.88056297,-10.29733333,-38.95282515,-7.465790981
-36.53431348,-10.37262735,-33.3863432,-11.51839483,-39.68228376,-9.226859868
-37.01962779,-11.91184767,-33.78377627,-12.77889147,-40.2554793,-11.04480386
-37.36894343,-13.48750871,-34.06983746,-14.06923011,-40.6680494,-12.90578732
-37.57960191,-15.08761876,-34.24234968,-15.3795905,-40.91685415,-14.79564702
-37.65,-16.7,-34.3,-16.7,-41,-16.7
-37.65,-17.7,-34.3,-17.7,-41,-17.7
-37.65,-18.7,-34.3,-18.7,-41,-18.7
-37.65,-19.7,-34.3,-19.7,-41,-19.7
-37.65,-20.7,-34.3,-20.7,-41,-20.7
-37.65,-21.7,-34.3,-21.7,-41,-21.7
-37.65,-22.7,-34.3,-22.7,-41,-22.7
-37.65,-23.7,-34.3,-23.7,-41,-23.7
-37.65,-24.7,-34.3,-24.7,-41,-24.7
-37.65,-25.7,-34.3,-25.7,-41,-25.7
-37.65,-26.7,-34.3,-26.7,-41,-26.7
-37.65,-27.7,-34.3,-27.7,-41,-27.7
-37.65,-28.7,-34.3,-28.7,-41,-28.7
-37.65,-29.7,-34.3,-29.7,-41,-29.7
-37.65,-30.7,-34.3,-30.7,-41,-30.7
-37.65,-31.7,-34.3,-31.7,-41,-31.7
-37.65,-32.7,-34.3,-32.7,-41,-32.7
-37.65,-33.7,-34.3,-33.7,-41,-33.7
-37.65,-34.7,-34.3,-34.7,-41,-34.7
-37.65,-35.7,-34.3,-35.7,-41,-35.7
-37.65,-36.7,-34.3,-36.7,-41,-36.7
-37.65,-37.7,-34.3,-37.7,-41,-37.7
-37.57960191,-39.31238124,-34.24234968,-39.0204095,-40.91685415,-39.60435298
-37.36894343,-40.91249129,-34.06983746,-40.33076989,-40.6680494,-41.49421268
-37.01962779,-42.48815233,-33.78377627,-41.62110853,-40.2554793,-43.35519614
-36.53431348,-44.02737265,-33.3863432,-42.88160517,-39.68228376,-45.17314013
-35.91669406,-45.51843784,-32.88056297,-44.10266667,-38.95282515,-46.93420902
-35.17146997,-46.95,-32.27028487,-45.275,-38.07265507,-48.625
-34.30431282,-48.31116407,-31.56015347,-46.38968301,-37.04847217,-50.23264513
-33.3218222,-49.59157078,-30.75557331,-47.43823229,-35.88807108,-51.74490927
-32.23147545,-50.78147545,-29.86266773,-48.41266773,-34.60028317,-53.15028317
-31.04157078,-51.8718222,-28.88823229,-49.30557331,-33.19490927,-54.43807108
-29.76116407,-52.85431282,-27.83968301,-50.11015347,-31.68264513,-55.59847217
-28.4,-53.72146997,-26.725,-50.82028487,-30.075,-56.62265507
-26.96843784,-54.46669406,-25.55266667,-51.43056297,-28.38420902,-57.50282515
-25.47737265,-55.08431348,-24.33160517,-51.9363432,-26.62314013,-58.23228376
-24.47737265,-55.48957087,-23.33160517,-52.3416006,-25.62314013,-58.63754116
-23.47737265,-55.89482827,-22.33160517,-52.74685799,-24.62314013,-59.04279855
-22.47737265,-56.30008566,-21.33160517,-53.15211538,-23.62314013,-59.44805594
-21.47737265,-56.70534305,-20.33160517,-53.55737278,-22.62314013,-59.85331334
-20.47737265,-57.11060045,-19.33160517,-53.96263017,-21.62314013,-60.25857073
-19.47737265,-57.51585784,-18.33160517,-54.36788756,-20.62314013,-60.66382812
-18.47737265,-57.92111523,-17.33160517,-54.77314496,-19.62314013,-61.06908552
-17.47737265,-58.32637263,-16.33160517,-55.17840235,-18.62314013,-61.47434291
-16.47737265,-58.73163002,-15.33160517,-55.58365974,-17.62314013,-61.8796003
-15.47737265,-59.13688741,-14.33160517,-55.98891714,-16.62314013,-62.2848577
-14.47737265,-59.5421448,-13.33160517,-56.39417453,-15.62314013,-62.69011509
-13.47737265,-59.9474022,-12.33160517,-56.79943192,-14.62314013,-63.09537248
